Year,Table_Entry,Fragment,Lead
2021,22,c1ccc(cc1)c2cccc3ccncc23,CN1CCN(Cc2ccc(c3c[nH]c4ccncc34)c(OCCc5ccc(cc5)c6cccc7ccncc67)c2)CC1
2021,23,C(c1ccccc1)n2cnc3ccccc23,CC1(C)N(Cc2cccnc2C#N)c3nc(ccc3C1=O)c4cnc(nc4)N5CCN6[C@H](CNC6=O)C5
2021,24,OC(=O)c1cnn(c1C2CC2)c3ccccc3,COc1cccc(c1)S(=O)(=O)N(CC(=O)O)c2cccc(c2)n3ncc(C(=O)O)c3[C@H]4C[C@@H]4c5ccccc5
2021,25,OC(=O)CCc1ccc(Cl)cc1,CCC[C@@H]1CCCCN1C(=O)c2cccc(c2)c3cccc(c3)n4ncc(C(=O)O)c4[C@H]5C[C@@H]5c6cn(C)nn6
2021,26,CC(=O)Nc1nc2ccccc2s1,CC1(CCCC1)C(=O)Nc2nc3cc(Br)ccc3s2
2021,27,O=C1NCCn2c1nc3ccccc23,FC(F)(F)c1cccc2nc3C(=O)N(CC4CCC4)CCn3c12
2021,28,CCOC(=O)N1CCC(CC1)N2CCC(CC2)C(=O)N,CCOC(=O)N1CCC[C@@H](CC1)N2CCC(CC2)C(=O)NC3(C)CCC3
2020,1,CNC(=O)c1n[nH]c2cc(ccc12)c3ccccc3Cl,Cc1cccn(c2ccc(c(Cl)c2)c3ccc4c(n[nH]c4c3)C(=O)NCc5ccncc5)c1=O
2020,2,C1C[C@@H](CN1)Oc2ccc3cnccc3c2,C1C[C@@H](CN1)Oc2ccc3cncc(c4cnc5[nH]ccc5c4)c3c2
2020,3,C1CNCC(C1)Nc2cccc3cnccc23,Nc1ccc(c(F)c1)c2cc(N[C@H]3CCCCNC3)c4ccncc4c2
2020,4,Cc1cc(n[nH]1)c2cccnc2,Cc1cc(n[nH]1)c2cc(ccc2O[C@H]3C[C@@]3(CN)c4ccc(F)cc4F)C(F)(F)F
2020,5,Cc1[nH]nc2[nH]c(=O)cc(C(F)F)c12,Cc1[nH]nc2[nH]c(=O)cc([C@H]3C[C@H]4C[C@@H]3C[C@@H]4CC#N)c12
2020,6,OCc1ccc(cc1)c2cccnc2,CC(C)Oc1cc(ccc1C(=O)N)c2cncc(c2)c3c(C)n[nH]c3C
2020,7,COc1cccc(c1)c2ccc(=O)n(C)c2,COCC(COC)n1c(nc2cc(ccc12)N3CCOCC3)c4cc(C)c(=O)n(C)c4
2020,8,CNC(=O)c1ccc(=O)n(Cc2ccccc2)c1,CNC(=O)c1cc(cn(Cc2cccc3[nH]ccc23)c1=O)C(=O)NC4CC4
2020,9,Cc1cc(Br)n2cc[nH]c(=O)c12,CCS(=O)(=O)Cc1cnc(Oc2ccc(F)cc2F)c(c1)c3cc(C)c4c(=O)[nH]ccn34
2020,10,OC(=O)c1ccc2n(cnc2c1)C3CCCCC3,CS(=O)(=O)c1nc(NS(=O)(=O)c2cc(Br)cc(Cl)c2O)cn1C3CCCC3
2020,11,OC(=O)c1ccccc1Nc2ccccc2,OC(=O)c1ccccc1Nc2cccc(Cl)c2c3ccc4OCCc4c3
2020,12,OC(=O)/C=C/c1cccc(c1)C(F)(F)F,Cc1c(sc2ccc(Cl)cc12)S(=O)(=O)Nc3cccc(CN)c3
